Time (s),Voltage (V),Speed (steps/s)
0.0,11.0,0.0
0.05008411407470703,11.0,0.0
0.10576438903808594,11.0,1999.2
0.15622234344482422,11.0,3997.2
0.20639848709106445,11.0,4599.54
0.2566821575164795,11.0,4997.5
0.30701303482055664,11.0,5297.88
0.3573274612426758,11.0,5299.47
0.40738511085510254,11.0,5398.38
0.46739816665649414,11.0,5498.35
0.5174272060394287,11.0,5596.08
0.5674412250518799,11.0,5497.25
0.6174750328063965,11.0,5597.76
0.6680736541748047,11.0,5598.32
0.7183432579040527,11.0,5598.88
0.7684488296508789,11.0,5596.64
0.8187241554260254,11.0,5596.08
0.8688230514526367,11.0,5697.15
0.9190988540649414,11.0,5697.15
0.9691989421844482,11.0,5697.15
1.0194714069366455,11.0,5596.08
1.0695624351501465,11.0,5696.58
1.119835615158081,11.0,5694.87
1.170107364654541,11.0,5599.44
1.2203888893127441,11.0,5597.2
1.2704784870147705,11.0,5598.88
1.3207547664642334,11.0,5698.86
1.3708550930023193,11.0,5696.58
1.4211201667785645,11.0,5599.44
1.4712204933166504,11.0,5697.72
1.5214893817901611,11.0,5696.58
1.5715911388397217,11.0,5698.29
1.6218695640563965,11.0,5697.15
1.671879529953003,11.0,5698.29
1.7223901748657227,11.0,5697.72
1.7724733352661133,11.0,5598.88
1.8227567672729492,11.0,5698.86
1.8727798461914062,11.0,5597.2
1.9230611324310303,11.0,5696.58
1.9731440544128418,11.0,5699.43
2.0234293937683105,11.0,5699.43
2.0735244750976562,11.0,5699.43
2.1238019466400146,11.0,5697.72
2.173903703689575,11.0,5598.88
2.2244601249694824,11.0,5696.58
2.2745630741119385,11.0,5699.43
2.3248393535614014,11.0,5699.43
2.3749306201934814,11.0,5696.58
2.4251585006713867,11.0,5699.43
2.475177764892578,11.0,5698.86
2.52541184425354,11.0,5697.15
2.5754940509796143,11.0,5698.29
2.6257662773132324,11.0,5696.58
2.6758596897125244,11.0,5697.15
2.726343870162964,11.0,5699.43
2.776447296142578,11.0,5738.88
2.8267180919647217,11.0,5698.86
2.877319812774658,11.0,5598.88
2.9274115562438965,11.0,5714.29
2.9874165058135986,11.0,5596.64
3.037503242492676,11.0,5696.01
