Time (s),Voltage (V),Speed (steps/s)
0.0,9.0,0.0
0.0505375862121582,9.0,0.0
0.10109567642211914,9.0,1699.15
0.15202665328979492,9.0,2998.5
0.20234346389770508,9.0,3698.15
0.2532074451446533,9.0,3998.8
0.3041994571685791,9.0,4397.8
0.35471653938293457,9.0,4498.65
0.40567445755004883,9.0,4597.49
0.4562067985534668,9.0,4744.96
0.5072073936462402,9.0,4697.18
0.6082384586334229,9.0,4699.06
0.6591062545776367,9.0,4698.59
0.7100644111633301,9.0,4798.56
0.7601091861724854,9.0,4797.12
0.8105688095092773,9.0,4797.12
0.8613717555999756,9.0,4699.06
0.9114294052124023,9.0,4799.04
0.9619951248168945,9.0,4799.52
1.0122056007385254,9.0,4799.04
1.0695703029632568,9.0,4799.04
1.1197404861450195,9.0,4797.12
1.1697523593902588,9.0,4798.56
1.2204129695892334,9.0,4799.04
1.2706801891326904,9.0,4797.6
1.3215179443359375,9.0,4797.12
1.3717117309570312,9.0,4798.08
1.4223246574401855,9.0,4797.12
1.4730510711669922,9.0,4798.56
1.5230591297149658,9.0,4698.59
1.5733239650726318,9.0,4799.52
1.6233890056610107,9.0,4798.08
1.6737802028656006,9.0,4798.56
1.7244148254394531,9.0,4796.64
1.7747020721435547,9.0,4798.56
1.8248858451843262,9.0,4797.12
1.8749275207519531,9.0,4799.52
1.9253394603729248,9.0,4796.64
1.9757816791534424,9.0,4797.6
2.025987386703491,9.0,4799.52
2.076017141342163,9.0,4798.56
2.1260175704956055,9.0,4796.64
2.176121234893799,9.0,4796.16
2.2264747619628906,9.0,4898.53
2.2770750522613525,9.0,4798.56
2.3278143405914307,9.0,4797.6
2.3783581256866455,9.0,4714.66
2.4380290508270264,9.0,4899.51
2.4884960651397705,9.0,4797.12
2.5391061305999756,9.0,4798.56
2.6394670009613037,9.0,4798.56
2.689629077911377,9.0,4796.64
2.7399680614471436,9.0,4898.04
2.789977550506592,9.0,4897.55
2.839977979660034,9.0,4798.08
2.889984369277954,9.0,4799.04
2.9402706623077393,9.0,4797.6
2.9902915954589844,9.0,4797.12
3.040550470352173,9.0,4796.64
