Time (s),Voltage (V),Speed (steps/s)
0.0,3.0,0.0
0.05011630058288574,3.0,0.0
0.10023164749145508,3.0,399.84
0.15041089057922363,3.0,799.68
0.2009141445159912,3.0,1099.89
0.25127387046813965,3.0,1199.88
0.3018207550048828,3.0,1399.3
0.3520512580871582,3.0,1499.85
0.4025404453277588,3.0,1599.52
0.45268678665161133,3.0,1599.04
0.5033419132232666,3.0,1598.88
0.5537235736846924,3.0,1599.36
0.6038215160369873,3.0,1599.84
0.653944730758667,3.0,1598.88
0.7039463520050049,3.0,1599.84
0.7542459964752197,3.0,1698.98
0.8048779964447021,3.0,1599.2
0.855802059173584,3.0,1699.66
0.9059658050537109,3.0,1599.2
0.95619797706604,3.0,1599.36
1.0063226222991943,3.0,1599.36
1.0572388172149658,3.0,1599.84
1.107635259628296,3.0,1699.32
1.158634901046753,3.0,1699.32
1.2087750434875488,3.0,1599.2
1.2593145370483398,3.0,1699.66
1.309366226196289,3.0,1699.15
1.3597025871276855,3.0,1599.2
1.409724235534668,3.0,1599.68
1.460474967956543,3.0,1598.88
1.5193889141082764,3.0,1688.4
1.570157527923584,3.0,1598.88
1.6210672855377197,3.0,1698.3
1.6714129447937012,3.0,1599.52
1.7310023307800293,3.0,1667.28
1.7909822463989258,3.0,1599.68
1.8416740894317627,3.0,1699.66
1.8926033973693848,3.0,1699.15
1.9426865577697754,3.0,1699.15
1.9933512210845947,3.0,1692.05
2.0443999767303467,3.0,1699.83
2.095445394515991,3.0,1599.52
2.1455323696136475,3.0,1699.49
2.196415901184082,3.0,1698.98
2.2471120357513428,3.0,1698.81
2.297849655151367,3.0,1599.84
2.348314046859741,3.0,1599.52
2.3991761207580566,3.0,1699.83
2.4496450424194336,3.0,1699.49
2.500091314315796,3.0,1699.49
2.5500924587249756,3.0,1699.49
2.600559711456299,3.0,1698.81
2.6508398056030273,3.0,1699.15
2.70127272605896,3.0,1699.66
2.7512831687927246,3.0,1699.15
2.8017287254333496,3.0,1698.98
2.851731300354004,3.0,1699.32
2.902160406112671,3.0,1699.66
2.9621574878692627,3.0,1699.32
3.012902021408081,3.0,1599.68
