Time (s),Voltage (V),Speed (steps/s)
0.0,5.0,0.0
0.05052351951599121,5.0,0.0
0.10053873062133789,5.0,799.84
0.15128731727600098,5.0,1599.2
0.2012941837310791,5.0,1999.8
0.2515275478363037,5.0,2198.46
0.3015298843383789,5.0,2399.76
0.35204362869262695,5.0,2599.22
0.4021918773651123,5.0,2598.18
0.45253515243530273,5.0,2697.3
0.5025498867034912,5.0,2699.73
0.5530498027801514,5.0,2598.7
0.6030726432800293,5.0,2699.46
0.6535818576812744,5.0,2698.38
0.7035877704620361,5.0,2699.19
0.7541027069091797,5.0,2699.46
0.8050944805145264,5.0,2699.19
0.8555982112884521,5.0,2731.97
0.9059207439422607,5.0,2699.46
0.95595383644104,5.0,2699.73
1.005962610244751,5.0,2699.46
1.056950569152832,5.0,2699.73
1.1073980331420898,5.0,2798.04
1.1583099365234375,5.0,2799.72
1.2085039615631104,5.0,2698.92
1.2586491107940674,5.0,2699.46
1.3087069988250732,5.0,2798.32
1.359706163406372,5.0,2698.92
1.410109043121338,5.0,2699.46
1.4701342582702637,5.0,2699.73
1.530095100402832,5.0,2698.92
1.5802390575408936,5.0,2699.19
1.630573034286499,5.0,2699.46
1.6810851097106934,5.0,2698.38
1.7316644191741943,5.0,2798.88
1.7824361324310303,5.0,2698.65
1.8328938484191895,5.0,2798.04
1.8830370903015137,5.0,2698.65
1.9338679313659668,5.0,2699.73
1.9840483665466309,5.0,2698.11
2.034459114074707,5.0,2698.38
2.0851757526397705,5.0,2698.65
2.135519027709961,5.0,2798.04
2.1857690811157227,5.0,2698.11
2.2359442710876465,5.0,2699.73
2.2865610122680664,5.0,2699.46
2.3380379676818848,5.0,2698.11
2.38824200630188,5.0,2799.16
2.438445568084717,5.0,2698.11
2.4894158840179443,5.0,2698.92
2.539928674697876,5.0,2699.19
2.5903687477111816,5.0,2798.88
2.6404500007629395,5.0,2698.11
2.69063401222229,5.0,2798.88
2.750554323196411,5.0,2698.38
2.800814628601074,5.0,2798.04
2.850835084915161,5.0,2798.88
2.901041030883789,5.0,2798.6
2.951756477355957,5.0,2798.04
3.002007484436035,5.0,2698.92
