Time (s),Voltage (V),Speed (steps/s)
0.0,7.0,0.0
0.0563664436340332,7.0,0.0
0.11604690551757812,7.0,1299.87
0.16611957550048828,7.0,2499.0
0.21613073348999023,7.0,2898.55
0.26616907119750977,7.0,3199.68
0.3161897659301758,7.0,3398.98
0.3761861324310303,7.0,3498.95
0.4261970520019531,7.0,3598.2
0.476224422454834,7.0,3499.65
0.5262289047241211,7.0,3598.92
0.5764987468719482,7.0,3598.2
0.6265079975128174,7.0,3597.84
0.6765434741973877,7.0,3498.95
0.7265446186065674,7.0,3598.56
0.7765700817108154,7.0,3597.48
0.8266472816467285,7.0,3499.3
0.876833438873291,7.0,3598.2
0.9268369674682617,7.0,3597.48
0.9867665767669678,7.0,3598.92
1.0467660427093506,7.0,3599.28
1.0969500541687012,7.0,3599.28
1.1469595432281494,7.0,3599.28
1.2069568634033203,7.0,3596.04
1.256971836090088,7.0,3599.28
1.3069849014282227,7.0,3598.56
1.3669867515563965,7.0,3598.56
1.4169983863830566,7.0,3598.92
1.4670031070709229,7.0,3597.48
1.5170948505401611,7.0,3599.28
1.5671815872192383,7.0,3599.28
1.6271543502807617,7.0,3597.84
1.6848561763763428,7.0,3497.9
1.734894037246704,7.0,3599.28
1.7948687076568604,7.0,3598.2
1.8448688983917236,7.0,3598.2
1.8948979377746582,7.0,3599.64
1.944899320602417,7.0,3599.28
1.9949238300323486,7.0,3597.48
2.044926404953003,7.0,3497.9
2.0950844287872314,7.0,3598.56
2.145174980163574,7.0,3597.48
2.2051303386688232,7.0,3597.48
2.255131244659424,7.0,3597.48
2.3051469326019287,7.0,3598.2
2.355147361755371,7.0,3598.2
2.405160665512085,7.0,3598.92
2.465162515640259,7.0,3597.48
2.515188217163086,7.0,3497.9
2.565192222595215,7.0,3598.92
2.6156201362609863,7.0,3597.48
2.6656229496002197,7.0,3599.64
2.7156331539154053,7.0,3598.56
2.765636682510376,7.0,3599.28
2.8156447410583496,7.0,3597.48
2.865649700164795,7.0,3597.84
2.9157938957214355,7.0,3598.92
2.9658071994781494,7.0,3597.84
3.015824317932129,7.0,3498.95
