Time (s),Voltage (V),Speed (steps/s)
0.0,4.0,0.0
0.05021977424621582,4.0,0.0
0.1005716323852539,4.0,599.58
0.151092529296875,4.0,1199.88
0.2014007568359375,4.0,1599.04
0.2521231174468994,4.0,1898.67
0.3022584915161133,4.0,1999.8
0.35265016555786133,4.0,1998.6
0.4032454490661621,4.0,2099.37
0.45385193824768066,4.0,2098.74
0.5038676261901855,4.0,2199.56
0.5543832778930664,4.0,2199.56
0.6049087047576904,4.0,2199.12
0.6549246311187744,4.0,2198.9
0.7050936222076416,4.0,2198.9
0.7552556991577148,4.0,2199.34
0.8060524463653564,4.0,2199.34
0.8566594123840332,4.0,2198.46
0.9072911739349365,4.0,2098.95
0.9574170112609863,4.0,2299.77
1.012648105621338,4.0,2098.74
1.0632035732269287,4.0,2199.56
1.113229751586914,4.0,2199.56
1.1634278297424316,4.0,2298.85
1.2169442176818848,4.0,2199.56
1.2672085762023926,4.0,2199.12
1.3174571990966797,4.0,2198.46
1.3681116104125977,4.0,2298.85
1.4182817935943604,4.0,2099.79
1.4682908058166504,4.0,2199.78
1.5188021659851074,4.0,2199.78
1.5690515041351318,4.0,2098.74
1.6194202899932861,4.0,2198.68
1.6794257164001465,4.0,2198.46
1.7296473979949951,4.0,2098.74
1.7801802158355713,4.0,2198.68
1.8304634094238281,4.0,2199.34
1.8811144828796387,4.0,2139.66
1.9321134090423584,4.0,2199.12
1.9824013710021973,4.0,2098.53
2.032426118850708,4.0,2199.56
2.082427740097046,4.0,2199.78
2.1324403285980225,4.0,2099.79
2.182903289794922,4.0,2198.9
2.233424186706543,4.0,2198.9
2.2838618755340576,4.0,2199.56
2.334911346435547,4.0,2298.39
2.3851985931396484,4.0,2299.08
2.4361040592193604,4.0,2199.12
2.4862940311431885,4.0,2198.46
2.5369651317596436,4.0,2298.85
2.5875024795532227,4.0,2199.56
2.64748477935791,4.0,2299.31
2.6982100009918213,4.0,2199.56
2.7490086555480957,4.0,2198.68
2.799579620361328,4.0,2199.78
2.850062370300293,4.0,2198.46
2.900528907775879,4.0,2198.9
2.9510626792907715,4.0,2199.78
3.0014472007751465,4.0,2099.79
