Time (s),Voltage (V),Speed (steps/s)
0.0,12.0,0.0
0.05087399482727051,12.0,0.0
0.10135793685913086,12.0,2199.78
0.15233612060546875,12.0,4098.36
0.20276212692260742,12.0,4997.5
0.25360965728759766,12.0,5496.15
0.30368614196777344,12.0,5599.44
0.35370421409606934,12.0,5898.23
0.4047839641571045,12.0,5999.4
0.4549129009246826,12.0,6030.34
0.5050232410430908,12.0,5997.0
0.5558063983917236,12.0,5998.2
0.6059215068817139,12.0,6077.35
0.656278133392334,12.0,6095.73
0.7064507007598877,12.0,6097.56
0.7609946727752686,12.0,6095.73
0.8109970092773438,12.0,6099.39
0.8613271713256836,12.0,6098.78
0.9113340377807617,12.0,6198.14
0.9617009162902832,12.0,6097.56
1.0216996669769287,12.0,6096.95
1.0721681118011475,12.0,6198.76
1.1221776008605957,12.0,6096.34
1.1731939315795898,12.0,6097.56
1.2333037853240967,12.0,6199.38
1.2836520671844482,12.0,6098.17
1.3337738513946533,12.0,6097.56
1.3840725421905518,12.0,6097.56
1.4341843128204346,12.0,6096.34
1.4845218658447266,12.0,6097.56
1.5346322059631348,12.0,6098.17
1.5849711894989014,12.0,6098.78
1.6350929737091064,12.0,6096.34
1.6860713958740234,12.0,6096.34
1.7361860275268555,12.0,6196.28
1.787003993988037,12.0,6199.38
1.8371188640594482,12.0,6196.9
1.8873555660247803,12.0,6199.38
1.9375808238983154,12.0,6195.04
1.988111972808838,12.0,6195.66
2.0388219356536865,12.0,6198.35
2.0891270637512207,12.0,6208.34
2.139744281768799,12.0,6196.28
2.1903092861175537,12.0,6134.97
2.2500357627868652,12.0,6193.81
2.3005216121673584,12.0,6096.34
2.3602378368377686,12.0,6195.66
2.410238265991211,12.0,6097.56
2.4604673385620117,12.0,6096.34
2.5204663276672363,12.0,6199.38
2.570704698562622,12.0,6099.39
2.6207051277160645,12.0,6136.71
2.670926332473755,12.0,6095.73
2.7215921878814697,12.0,6198.14
2.7813096046447754,12.0,6198.76
2.831313133239746,12.0,6095.73
2.88191294670105,12.0,6199.38
2.941521644592285,12.0,6251.17
2.9916367530822754,12.0,6196.9
3.041752815246582,12.0,6197.52
