Time (s),Voltage (V),Speed (steps/s)
0.0,6.0,0.0
0.05000710487365723,6.0,0.0
0.10054135322570801,6.0,999.4
0.15054965019226074,6.0,1898.86
0.20084834098815918,6.0,2399.76
0.251140832901001,6.0,2698.92
0.3020641803741455,6.0,2998.5
0.3530566692352295,6.0,2998.5
0.40387606620788574,6.0,3097.83
0.45413684844970703,6.0,3101.21
0.5046525001525879,6.0,3099.38
0.5556454658508301,6.0,3199.68
0.6062901020050049,6.0,3198.72
0.6572980880737305,6.0,3198.72
0.7080984115600586,6.0,3297.69
0.7583701610565186,6.0,3198.08
0.8084416389465332,6.0,3298.68
0.8586137294769287,6.0,3198.08
0.9093637466430664,6.0,3198.4
0.959491491317749,6.0,3299.67
1.0099093914031982,6.0,3299.01
1.0600593090057373,6.0,3199.04
1.1107914447784424,6.0,3199.04
1.1609156131744385,6.0,3199.68
1.2118809223175049,6.0,3299.01
1.2628567218780518,6.0,3298.02
1.322174072265625,6.0,3199.04
1.3823158740997314,6.0,3198.72
1.4324333667755127,6.0,3198.08
1.4826581478118896,6.0,3298.68
1.532818078994751,6.0,3299.01
1.592900276184082,6.0,3198.08
1.6434643268585205,6.0,3199.68
1.6937012672424316,6.0,3197.76
1.744060754776001,6.0,3199.04
1.7945237159729004,6.0,3298.68
1.8447802066802979,6.0,3199.36
1.894871473312378,6.0,3299.67
1.9448790550231934,6.0,3197.76
1.9948840141296387,6.0,3197.76
2.0448896884918213,6.0,3298.35
2.094942331314087,6.0,3199.36
2.1449506282806396,6.0,3198.4
2.1949663162231445,6.0,3198.72
2.2449734210968018,6.0,3199.36
2.294975996017456,6.0,3197.76
2.3450002670288086,6.0,3298.35
2.3950045108795166,6.0,3299.67
2.445009708404541,6.0,3297.69
2.495013952255249,6.0,3298.35
2.545027732849121,6.0,3199.36
2.5950372219085693,6.0,3199.04
2.645048141479492,6.0,3199.04
2.695073366165161,6.0,3297.69
2.7450850009918213,6.0,3298.02
2.795088768005371,6.0,3199.68
2.845231771469116,6.0,3198.08
2.8952343463897705,6.0,3298.68
2.9453682899475098,6.0,3298.02
2.995633363723755,6.0,3198.08
3.0477821826934814,6.0,3197.76
