Time (s),Voltage (V),Speed (steps/s)
0.0,8.0,0.0
0.05059671401977539,8.0,0.0
0.10150265693664551,8.0,1499.25
0.15172314643859863,8.0,2598.7
0.20194602012634277,8.0,3198.08
0.2525944709777832,8.0,3599.28
0.3033027648925781,8.0,3799.24
0.35340166091918945,8.0,3997.6
0.4034855365753174,8.0,3999.6
0.4538078308105469,8.0,4097.13
0.5039381980895996,8.0,4098.36
0.5548412799835205,8.0,4098.77
0.6058337688446045,8.0,4097.95
0.6564936637878418,8.0,4098.36
0.7067632675170898,8.0,4199.16
0.7574810981750488,8.0,4298.71
0.8082590103149414,8.0,4197.06
0.8591728210449219,8.0,4296.99
0.9100799560546875,8.0,4197.9
0.9607729911804199,8.0,4197.06
1.01078200340271,8.0,4197.06
1.0616481304168701,8.0,4198.74
1.1118979454040527,8.0,4197.9
1.1626160144805908,8.0,4199.58
1.212695598602295,8.0,4197.9
1.2628710269927979,8.0,4197.48
1.3138148784637451,8.0,4197.06
1.3645412921905518,8.0,4297.42
1.4148147106170654,8.0,4299.57
1.4654200077056885,8.0,4197.06
1.5250017642974854,8.0,4228.93
1.5763671398162842,8.0,4197.48
1.6277680397033691,8.0,4196.22
1.678321361541748,8.0,4197.9
1.729175090789795,8.0,4199.58
1.7797691822052002,8.0,4199.16
1.8304760456085205,8.0,4297.42
1.8806111812591553,8.0,4299.57
1.9407134056091309,8.0,4299.14
1.9908263683319092,8.0,4197.06
2.041256904602051,8.0,4199.16
2.09236478805542,8.0,4198.32
2.1426689624786377,8.0,4199.58
2.1927859783172607,8.0,4197.48
2.243009567260742,8.0,4299.57
2.293121576309204,8.0,4296.99
2.343583822250366,8.0,4297.42
2.3936941623687744,8.0,4198.74
2.443922996520996,8.0,4199.58
2.4940314292907715,8.0,4198.74
2.544262409210205,8.0,4198.32
2.5943763256073,8.0,4296.99
2.64461088180542,8.0,4198.74
2.694721221923828,8.0,4199.16
2.74969482421875,8.0,4198.74
2.7998087406158447,8.0,4199.58
2.8511974811553955,8.0,4296.99
2.901319980621338,8.0,4299.57
2.95166277885437,8.0,4197.48
3.001783847808838,8.0,4299.57
